[17-Aug-2014 12:43:09 PM] Mod T used command:	[tele 0,40,48,54,17]
[17-Aug-2014 12:43:10 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:11 PM] Mod T used command:	[tele 0,40,48,54,16]
[17-Aug-2014 12:43:12 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:12 PM] Mod T used command:	[tele 0,40,48,52,19]
[17-Aug-2014 12:43:31 PM] Mod T used command:	[tele 0,40,48,54,25]
[17-Aug-2014 12:43:32 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:33 PM] Mod T used command:	[tele 0,40,48,54,24]
[17-Aug-2014 12:43:34 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:35 PM] Mod T used command:	[tele 0,40,48,54,23]
[17-Aug-2014 12:43:35 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:36 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 12:43:37 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:38 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 12:43:39 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:40 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 12:43:41 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:41 PM] Mod T used command:	[tele 0,40,48,54,19]
[17-Aug-2014 12:43:42 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:43 PM] Mod T used command:	[tele 0,40,48,54,18]
[17-Aug-2014 12:43:44 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:45 PM] Mod T used command:	[tele 0,40,48,54,17]
[17-Aug-2014 12:43:46 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:47 PM] Mod T used command:	[tele 0,40,48,54,16]
[17-Aug-2014 12:43:48 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:48 PM] Mod T used command:	[tele 0,40,48,51,19]
[17-Aug-2014 12:44:33 PM] Mod T used command:	[tele 0,48,54,22,41]
[17-Aug-2014 12:44:46 PM] Mod T used command:	[tele 0,48,54,26,39]
[17-Aug-2014 12:44:49 PM] Mod T used command:	[tis]
[17-Aug-2014 12:44:54 PM] Mod T used command:	[tele 0,1,1,23,8]
[17-Aug-2014 12:44:55 PM] Mod T used command:	[tele 0,1,1,12,18]
[17-Aug-2014 12:44:59 PM] Mod T used command:	[kick mod t]
[17-Aug-2014 12:45:20 PM] Mod T used command:	[tele 0,48,54,24,39]
[17-Aug-2014 12:45:23 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:46:47 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:47:18 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:47:26 PM] Mod T used command:	[obj 42373]
[17-Aug-2014 12:47:36 PM] Mod T used command:	[xtele 2605 3085]
[17-Aug-2014 12:47:42 PM] Mod T used command:	[tele 0,40,48,52,20]
[17-Aug-2014 12:47:44 PM] Mod T used command:	[tele 0,40,48,54,25]
[17-Aug-2014 12:47:45 PM] Mod T used command:	[obj 42373 10 1]
[17-Aug-2014 12:47:46 PM] Mod T used command:	[obj 42373 10 2]
